,OverallQual,GrLivArea,YearBuilt,GarageCars,TotalBsmtSF,1stFlrSF,BsmtFinSF1,LotArea,CentralAir,OverallCond,SalePrice_log
0,7,1710,2003,2,856,856,706,8450,1,5,12.247694320220994
1,6,1262,1976,2,1262,1262,978,9600,1,8,12.109010932687042
2,7,1786,2001,2,920,920,486,11250,1,5,12.31716669303576
3,7,1717,1915,3,756,961,216,9550,1,5,11.84939770159144
4,8,2198,2000,3,1145,1145,655,14260,1,5,12.429216196844383
5,5,1362,1993,2,796,796,732,14115,1,5,11.870599909242044
6,8,1694,2004,2,1686,1694,1369,10084,1,5,12.634603026569334
7,7,2090,1973,2,1107,1107,859,10382,1,6,12.206072645530174
8,7,1774,1931,2,952,1022,0,6120,1,5,11.77452020265869
9,5,1077,1939,1,991,1077,851,7420,1,6,11.678439903447801
10,5,1040,1965,1,1040,1040,906,11200,1,5,11.771436160121729
11,9,2324,2005,3,1175,1182,998,11924,1,5,12.751299696013497
12,5,912,1962,1,912,912,737,12968,1,6,11.877568578558138
13,7,1494,2006,3,1494,1494,0,10652,1,5,12.540757571577291
14,6,1253,1960,1,1253,1253,733,10920,1,5,11.964001084330445
15,7,854,1929,2,832,854,0,6120,1,8,11.790557201568507
16,6,1004,1970,2,1004,1004,578,11241,1,7,11.911701584927597
18,5,1114,2004,2,1114,1114,646,13695,1,5,11.976659481202368
19,5,1339,1958,1,1029,1339,504,7560,1,6,11.842229212112828
20,8,2376,2005,3,1158,1158,0,14215,1,5,12.692503112461443
21,7,1108,1930,1,637,1108,0,7449,1,7,11.845102777308561
23,5,1060,1976,2,1040,1060,840,4224,1,7,11.77452020265869
24,5,1060,1968,1,1060,1060,188,8246,1,8,11.944707881395766
25,8,1600,2007,3,1566,1600,0,14230,1,5,12.454103912352162
26,5,900,1951,2,900,900,234,7200,1,7,11.811547477460344
27,8,1704,2007,3,1704,1704,1218,11478,1,5,12.631340380934517
28,5,1600,1957,1,1484,1600,1277,16321,1,6,12.24288661865289
29,4,520,1927,1,520,520,0,6324,2,6,11.134589024250317
30,4,1317,1920,1,649,649,0,8500,2,4,10.596634733096073
31,5,1228,1966,1,1228,1228,0,8544,1,6,11.914047823644255
32,8,1234,2007,2,1234,1234,0,11049,1,5,12.100156419938624
33,5,1700,1959,2,1398,1700,1018,10552,1,5,12.016726473799254
34,9,1561,2005,2,1561,1561,1153,7313,1,5,12.533576212168626
35,8,2452,2004,3,1117,1132,0,13418,1,5,12.641096555879882
36,5,1097,1994,2,1097,1097,0,10859,1,5,11.884489021402711
37,5,1297,1954,2,1297,1297,1213,8532,1,6,11.938193200374572
38,5,1057,1953,1,1057,1057,731,7922,1,7,11.59910316121128
40,6,1324,1965,2,1088,1324,643,8658,1,5,11.982929094215963
41,5,1328,1959,1,1350,1328,967,16905,1,6,12.043553716032399
42,5,884,1983,2,840,884,747,9180,1,7,11.877568578558138
43,5,938,1975,1,938,938,280,9200,1,6,11.777210959615614
44,5,1150,1959,1,1150,1150,179,7945,1,6,11.856515169360305
45,9,1752,2005,2,1752,1752,456,7658,1,5,12.675763725937609
46,7,2149,2003,2,1434,1518,1351,12822,1,5,12.387085012375499
47,8,1656,2006,3,1656,1656,24,11096,1,5,12.428015476267865
48,4,1452,1920,0,736,736,0,4456,1,5,11.635143097694478
49,5,955,1966,1,955,955,763,7742,1,7,11.751942365440728
50,6,1470,1997,2,794,794,182,13869,1,6,12.083905011555967
51,6,1176,1934,2,816,816,0,6240,1,6,11.648330101976432
52,5,816,1963,2,816,816,104,8472,2,5,11.608235644774552
53,9,1842,1981,3,1842,1842,1810,50271,1,5,12.86099861326992
54,5,1360,1955,2,384,1360,384,7134,1,5,11.77528972943772
55,6,1425,1964,2,1425,1425,490,10175,1,5,12.103486056755072
56,8,1739,1999,2,970,983,649,2645,1,5,12.058152515453552
57,7,1720,2004,2,860,860,0,11645,1,5,12.188417710291453
58,10,2945,2006,3,1410,1426,0,13682,1,5,12.991753427493052
59,5,780,1972,1,780,780,632,7200,1,7,11.73526869611367
60,6,1158,2004,2,1158,1158,941,13072,1,5,11.970350312009105
61,5,1111,1920,1,530,581,0,7200,2,7,11.522875795823397
62,8,1370,2006,2,1370,1370,24,6442,1,5,12.218495165528731
63,7,1710,1921,2,576,902,0,10300,1,6,11.84939770159144
64,7,2034,1997,2,1057,1057,739,9375,1,5,12.299107511497363
65,8,2473,2004,3,1143,1143,0,9591,1,5,12.666657052859417
67,7,1479,2003,2,1453,1479,1013,10665,1,5,12.328290278254423
68,4,747,1945,1,747,747,0,4608,1,6,11.289781913656018
69,7,2287,1953,2,1304,1304,603,15593,1,4,12.323855681186558
71,4,845,1982,2,845,845,565,7599,1,6,11.771436160121729
72,7,1718,1998,2,832,885,0,10141,1,5,12.128111104060462
73,5,1086,1954,2,1086,1086,320,10200,1,7,11.883799128308773
74,3,1605,1915,1,840,840,0,5790,2,6,11.584315461056901
75,4,988,1973,1,462,526,462,1596,1,5,11.418614785498987
76,4,952,1956,1,952,952,228,8475,1,7,11.818570237796182
77,5,1285,1948,1,672,1072,336,8635,1,5,11.751942365440728
79,5,1230,1910,2,440,682,0,10440,1,6,11.608235644774552
80,6,2142,1968,1,896,1182,448,13000,1,6,12.173032791451973
81,6,1337,1998,2,1237,1337,1201,4500,1,5,11.941455846009388
82,8,1563,2007,3,1563,1563,33,10206,1,5,12.409013489526863
83,5,1065,1960,2,1065,1065,0,8892,1,5,11.747997587149712
84,7,1474,1995,2,384,804,0,8530,1,5,12.034691028774553
85,8,2417,1991,2,1288,1301,0,16059,1,5,12.468436909997665
86,6,1560,2005,2,684,684,0,11911,1,5,12.066810578196666
87,6,1224,2009,2,612,612,0,3951,1,5,12.010665849187564
88,3,1526,1915,0,1013,1013,0,8470,2,2,11.350406535472453
89,4,990,1994,0,990,990,588,8070,1,5,11.724805824005728
91,5,1235,1961,2,1235,1235,600,8500,1,3,11.498826540590727
92,5,964,1921,2,876,964,713,13360,1,7,12.004568269319446
93,6,2291,1910,2,1214,1260,1046,7200,2,6,11.804848531679264
94,6,1786,1997,2,824,905,648,9337,1,5,12.229545001715316
95,6,1470,1993,2,680,680,310,9765,1,8,12.128111104060462
96,7,1588,1999,2,1588,1588,1162,10264,1,5,12.273731294003989
97,4,960,1965,1,960,960,520,10921,1,5,11.458997122944673
98,5,835,1920,1,458,835,108,10625,2,5,11.326595886778735
99,4,1225,1959,0,950,1225,569,9320,1,5,11.76718001130949
100,6,1610,1977,2,1610,1610,1200,10603,1,7,12.230765258120545
101,6,1732,1985,2,741,977,0,9206,1,5,12.089538829274222
103,7,1226,2009,3,1226,1226,0,10402,1,5,12.200557464842063
104,7,1818,1931,1,1040,1226,224,7758,1,4,12.040608205802641
105,8,1992,2003,2,1053,1053,0,9375,1,5,12.429216196844383
106,4,1047,1885,1,641,1047,0,10800,1,7,11.512925464970229
107,5,789,1948,1,789,789,104,6000,1,5,11.652687407345388
108,5,1517,1919,0,793,997,0,8500,2,7,11.652687407345388
109,6,1844,1977,2,1844,1844,705,11751,1,6,12.154779351142624
110,6,1855,1954,1,994,1216,444,9525,1,4,11.82700601127654
111,7,1430,2000,2,384,774,250,7750,1,5,12.100712129872347
112,7,2696,2007,3,1264,1282,984,9965,1,5,12.858319703517948
114,6,2320,1945,1,1028,1436,774,7259,1,8,12.46651198158808
115,6,1458,1999,2,729,729,419,3230,1,5,12.078239274020289
116,5,1092,1962,1,1092,1092,170,11616,1,5,11.842229212112828
117,5,1125,2006,2,1125,1125,0,8536,1,5,11.951180395901384
118,7,3222,1990,3,1673,1699,1470,12376,1,5,12.676076274775909
119,6,1456,2005,2,728,728,0,8461,1,5,12.007560729337492
120,6,988,1969,2,938,988,938,21453,1,5,12.100712129872347
121,4,1123,1939,1,732,772,0,6060,1,5,11.512925464970229
122,6,1080,1958,1,1080,1080,570,9464,1,7,11.820410164718188
123,6,1199,1993,2,1199,1199,300,7892,1,5,11.94405831982697
124,6,1586,1979,2,1362,1586,0,17043,1,5,12.106252310247962
125,6,754,1935,0,520,520,490,6780,2,8,11.344506813345266
126,6,958,1976,2,1078,958,120,4928,1,5,11.759785542901755
127,5,840,1930,0,672,840,116,4388,1,7,11.37366339763672
128,6,1348,1966,2,660,660,512,7590,1,5,11.951180395901384
129,5,1053,1958,2,1008,1053,567,8973,1,7,11.918390573078392
130,7,2157,1966,2,924,1216,445,14200,1,6,12.328290278254423
131,6,2054,2000,2,992,1022,695,12224,1,5,12.404923504275338
132,5,1327,1959,2,1063,1327,405,7388,1,6,11.923378114589433
133,8,1296,2001,2,1267,1296,1005,6853,1,5,12.301382825334498
134,5,1721,1968,2,1461,1721,570,10335,1,6,12.100712129872347
135,7,1682,1970,2,1304,1682,0,10400,1,6,12.066810578196666
136,5,1214,1967,1,1214,1214,695,10355,1,5,11.870599909242044
138,8,1852,1999,3,1004,1004,668,9066,1,5,12.345834587905333
139,6,1764,1997,2,928,928,821,15426,1,5,12.352335152508426
140,4,864,1971,0,864,864,432,10500,1,5,11.652687407345388
141,7,1734,2005,2,1734,1734,1300,11645,1,5,12.468436909997665
142,5,1385,1952,2,910,910,507,8520,1,4,12.01974306733868
143,7,1501,1999,2,1490,1501,679,10335,1,5,12.225875272826354
144,5,1728,1963,2,1728,1728,1332,9100,1,5,11.736069016284437
145,6,1709,2004,2,970,970,0,2522,1,5,11.77528972943772
146,5,875,1931,1,715,875,209,6120,1,7,11.56171562913966
147,7,2035,2001,2,884,884,0,9505,1,5,12.312682380588432
148,7,1080,2004,0,1080,1080,680,7500,1,5,11.856515169360305
149,5,1344,1936,1,896,896,0,6240,1,4,11.652687407345388
150,5,969,1975,2,969,969,716,10356,1,6,11.711776323715394
151,8,1710,2007,3,1710,1710,1400,13891,1,5,12.827729194939907
152,6,1993,1971,2,825,1097,416,14803,1,5,12.154779351142624
153,6,1252,1960,2,1602,1252,429,13500,1,7,12.367340793126296
154,6,1200,1923,1,1200,1200,0,11340,1,5,11.736069016284437
155,6,1096,1924,0,572,572,0,9600,2,5,11.27720313144916
157,8,1968,2009,3,774,774,0,12003,1,5,12.504323669331189
158,7,1947,2004,2,991,991,222,12552,1,5,12.448626590364206
159,7,2462,2005,2,1392,1392,57,19378,1,5,12.676076274775909
160,6,1232,1984,2,1232,1232,660,11120,1,6,11.998433280751929
161,9,2668,2003,3,1572,1572,1016,13688,1,5,12.929991484756872
162,7,1541,2005,2,1541,1541,1201,12182,1,5,12.301382825334498
163,4,882,1956,0,882,882,0,5500,1,6,11.544424132029599
164,6,1616,1926,1,1149,1149,370,5400,1,7,11.931635799828413
165,5,1355,1940,0,644,808,351,10106,1,7,11.755871643580617
166,5,1867,1955,1,1617,1867,379,10708,1,5,12.154779351142624
167,8,2161,2007,3,1582,1610,1288,10562,1,5,12.693498620467778
168,7,1720,2004,2,840,840,0,8244,1,5,12.119969946476761
170,5,1382,1941,2,720,854,360,12358,1,6,11.763684183317412
171,6,1656,1960,2,1080,1656,639,31770,1,5,12.2783933071098
172,7,1767,1987,2,1064,1064,495,5306,1,7,12.384218830913648
173,6,1362,1961,2,1362,1362,288,10197,1,5,12.0015054797889
174,6,1651,1986,2,1606,1651,1398,12416,1,5,12.122691036591123
176,6,2060,1988,2,1151,1164,831,10029,1,5,12.259613412458204
177,5,1920,1958,2,1052,1252,57,13650,1,5,12.058152515453552
179,5,968,1923,2,968,968,0,8520,1,6,11.512925464970229
180,6,1525,2000,2,756,769,436,2117,1,5,12.083905011555967
181,7,1802,1920,1,793,901,352,7588,1,6,12.206572520571825
183,7,2082,2003,2,1362,1362,0,11426,1,5,12.206072645530174
184,5,1252,1908,2,504,936,0,7438,1,8,11.751942365440728
185,10,3608,1892,3,1107,1518,0,22950,1,9,13.071070083016778
186,7,1217,1990,2,1188,1217,611,9947,1,5,12.061046873479915
187,5,1656,1916,1,660,808,0,10410,1,7,11.813030057420567
188,5,1224,1979,2,1086,1224,1086,7018,1,5,11.940393392554734
189,8,1593,2001,2,1593,1593,1153,4923,1,5,12.56374708980199
190,8,2727,1932,2,853,1549,297,10570,1,8,12.66032791780777
191,7,1479,1972,2,725,725,626,7472,1,9,12.122691036591123
192,7,1431,1999,2,1431,1431,560,9017,1,5,12.165250651009918
193,7,1709,2004,2,970,970,0,2522,1,5,11.77528972943772
194,5,864,1972,1,864,864,390,7180,1,7,11.751942365440728
195,6,1456,1976,2,855,855,566,2280,1,6,11.908340237224891
196,7,1726,2007,3,1726,1726,1126,9416,1,5,12.650348126203179
197,8,3112,1918,2,1360,1360,1036,25419,1,4,12.367340793126296
198,6,2229,1912,0,755,929,0,5520,1,6,11.55214617812351
199,8,1713,2004,3,1713,1713,1088,9591,1,5,12.524162674153336
200,4,1121,2003,2,1121,1121,0,8546,1,5,11.84939770159144
201,6,1279,1977,2,1196,1279,641,10125,1,6,12.052338545588132
202,6,1310,1924,1,617,865,617,7000,1,6,11.626254150277232
203,6,848,2004,2,848,848,662,4438,1,5,11.911701584927597
204,5,1284,1947,1,720,720,312,3500,1,7,11.608235644774552
205,7,1442,1990,2,1424,1442,0,11851,1,5,12.103486056755072
206,5,1696,1962,1,1140,1696,0,13673,1,5,11.876873892875459
207,4,1100,1960,1,1100,1100,419,12493,1,5,11.856515169360305
208,7,2062,1988,2,1157,1180,1065,14364,1,5,12.531772785169476
209,6,1092,1964,2,1092,1092,787,8250,1,7,11.884489021402711
210,5,864,1925,0,864,864,468,5604,2,6,11.49272275765271
211,6,1212,2009,2,1212,1212,36,10420,1,5,12.133501952695338
212,7,1852,2009,2,900,932,822,8640,1,5,12.439871229831715
213,5,990,1995,2,990,990,716,13568,1,5,11.957611286231675
214,6,1392,1977,1,689,689,378,10900,1,7,11.993807212363148
215,5,1236,1957,1,1070,1236,360,10011,1,6,11.80894766169701
216,7,1436,2004,2,1436,1436,946,8450,1,5,12.254862809699606
217,4,1328,1925,1,686,810,0,9906,2,4,11.580584113444043
218,7,1954,1939,2,798,1137,341,15660,1,9,12.649154617209645
219,7,1248,2005,2,1248,1248,16,3010,1,5,12.0271851854705
220,7,1498,2006,2,1498,1498,0,8990,1,5,12.230277334226992
221,6,2267,2002,2,1010,1010,0,8068,1,5,12.206072645530174
222,6,1552,1975,2,713,811,550,11475,1,6,12.100156419938624
223,4,864,1971,2,864,864,524,10500,1,6,11.48246625748552
225,5,1302,1971,1,630,630,0,1680,1,5,11.626254150277232
226,7,2520,1995,3,1203,1214,565,9950,1,5,12.577636201962656
227,6,987,1970,1,483,483,321,1869,1,6,11.571194373094205
228,5,912,1967,1,912,912,842,8521,1,5,11.736069016284437
229,7,1555,2005,2,1373,1555,16,3182,1,5,12.167851432709975
230,6,1194,1959,1,1194,1194,0,8760,1,6,11.904967552746252
231,8,2794,1995,3,1462,1490,689,15138,1,5,12.90669184092882
232,6,987,1972,1,483,483,0,1680,1,5,11.456355113481834
233,5,894,1976,1,894,894,182,10650,1,6,11.761346823468706
234,6,1960,2002,2,860,860,625,7851,1,5,12.285345826424681
235,6,987,1971,1,483,483,358,1680,1,3,11.401993904262946
236,7,1414,2004,2,1414,1414,24,8773,1,5,12.130810161029627
237,7,1744,1993,2,996,1014,402,9453,1,7,12.178187442040638
239,6,1487,1945,1,735,798,94,8741,1,4,11.635143097694478
240,8,1566,2008,2,1566,1566,1078,9000,1,5,12.478006361013815
241,5,866,1945,0,686,866,329,3880,1,9,11.612770799939945
242,5,1440,1900,1,540,889,0,5000,2,4,11.27720313144916
243,6,1217,1980,1,626,626,0,10762,1,6,11.695247021764184
244,7,2110,1994,2,948,1222,695,8880,1,5,12.230765258120545
245,7,1872,1988,2,1845,1872,929,10400,1,5,12.394624752074764
246,6,1928,1910,1,1020,908,0,9142,2,8,11.827736204810263
247,6,1375,1954,2,1367,1375,0,11310,1,5,11.84939770159144
248,7,1668,2003,2,840,840,0,11317,1,5,12.100712129872347
249,6,2144,1958,2,1444,1444,697,159000,1,7,12.531772785169476
250,3,1306,1940,0,728,1306,0,5350,1,2,11.245046019814627
251,8,1625,2006,2,1573,1625,1573,4750,1,5,12.367340793126296
252,6,1640,2004,2,798,798,0,8366,1,5,12.061046873479915
253,6,1302,1964,1,1302,1302,270,9350,1,7,11.970350312009105
254,5,1314,1957,1,1314,1314,922,8400,1,6,11.884489021402711
255,7,2291,1999,2,975,1005,0,8738,1,5,12.345834587905333
256,6,1728,2003,2,864,864,503,8791,1,5,12.24288661865289
257,7,1604,2006,2,1604,1604,1334,8814,1,5,12.301382825334498
258,7,1792,2001,2,963,963,361,12435,1,5,12.352335152508426
260,6,1382,1962,2,1362,1382,672,19296,1,5,12.078239274020289
261,8,2574,2007,3,1482,1482,0,9588,1,5,12.528156144699286
262,6,1212,1977,2,506,1212,506,8471,1,7,11.925035115797062
263,5,1316,1929,2,926,926,234,5500,1,7,11.77528972943772
264,5,764,1925,2,680,764,0,5232,2,5,11.198214720130528
265,6,1422,1981,2,1422,1422,588,12090,1,6,12.075394321888057
266,6,1511,1997,2,802,802,714,11207,1,5,12.128111104060462
267,5,2192,1939,1,720,1052,378,8400,1,8,12.097930486910471
268,5,778,1940,1,740,778,403,6900,1,6,11.699405031912846
269,6,1113,1976,1,1143,1113,751,7917,1,7,11.904967552746252
270,8,1939,2006,3,1095,1095,0,10728,1,5,12.491251587763836
271,7,1363,1954,2,1385,1363,226,39104,1,7,12.394624752074764
272,8,2270,1999,3,1152,1164,524,11764,1,7,12.577636201962656
273,6,1632,1958,1,1240,1632,620,9600,1,6,11.842229212112828
274,5,816,1982,1,816,816,546,8314,1,7,11.732060994886899
275,7,1548,1925,2,952,952,0,7264,2,7,12.230765258120545
276,7,1560,2003,2,1560,1560,0,9196,1,5,12.211060187041213
277,4,864,1951,2,864,864,120,19138,1,5,11.856515169360305
279,7,2022,1977,2,1160,1156,392,10005,1,5,12.165250651009918
280,7,1982,1989,2,807,1175,421,11287,1,6,12.339291489316397
281,6,1262,2006,2,1262,1262,905,7200,1,5,12.128111104060462
282,7,1314,2007,2,1314,1314,904,5063,1,5,12.24288661865289
283,8,1468,2008,3,1468,1468,0,9612,1,5,12.407379502235209
284,6,1575,1992,2,1575,1575,430,8012,1,5,12.096257779522967
285,7,1250,2006,2,625,625,0,4251,1,5,12.011880916165731
286,6,1734,1962,2,912,1085,600,9786,1,7,11.976659481202368
287,4,858,1971,0,858,858,614,8125,1,4,11.385092093460344
288,5,900,1967,1,882,900,450,9819,1,5,11.711776323715394
289,6,1396,1915,1,698,698,0,8730,1,7,11.941944326032129
290,8,1919,2006,2,1079,1079,0,15611,1,5,12.359780370124389
291,5,1716,1912,0,780,936,210,5687,2,6,11.819674600139235
292,5,1716,1949,1,768,1148,292,11409,1,4,11.782952602183288
293,7,2263,1977,2,795,1468,795,16659,1,7,12.367340793126296
294,6,1644,1953,2,1416,1644,1285,9600,1,5,12.025749091398891
295,6,1003,1984,2,1003,1003,819,7937,1,6,11.867097278690842
296,5,1558,1950,1,910,910,420,13710,1,5,11.931635799828413
297,7,1950,1997,2,975,975,649,7399,1,5,12.384218830913648
298,6,1743,1968,2,702,1041,384,11700,1,6,12.072541252905651
299,6,1152,1950,1,1092,1152,0,14000,1,8,11.973509872299472
300,5,1336,1953,1,1165,1336,841,15750,1,5,11.964001084330445
301,8,2452,1998,2,1028,1210,281,16226,1,5,12.495003937382387
302,7,1541,2001,3,1541,1541,0,13704,1,5,12.230765258120545
303,5,894,1972,2,894,894,894,9800,1,7,11.917723684090689
304,7,3493,1880,3,1470,1675,0,18386,1,9,12.594730635321957
306,7,2243,1990,3,700,1122,700,13474,1,5,12.323855681186558
307,6,1406,1920,0,319,1035,0,7920,1,7,11.401993904262946
308,4,861,1940,2,861,861,262,12342,1,5,11.320553572322773
309,9,1944,2003,3,1896,1944,1274,12378,1,5,12.793859310432293
310,6,1501,1993,2,697,697,518,7685,1,5,12.017330520933296
311,6,972,1948,1,972,972,680,8000,1,6,11.790557201568507
312,5,1118,1939,2,793,793,507,7800,1,7,11.694413341015606
314,7,1641,1925,2,728,832,16,9600,1,7,12.089538829274222
315,7,1432,2004,2,716,716,425,7795,1,5,12.146853285870202
316,7,2353,1980,2,845,1153,692,13005,1,7,12.468436909997665
317,8,1959,2006,3,1088,1088,0,9000,1,5,12.506177237980511
318,7,2646,1993,3,1347,1372,987,9900,1,5,12.468436909997665
319,7,1472,1980,2,1372,1472,1036,14115,1,5,12.141534124392603
320,9,2596,2006,3,1249,1249,0,16259,1,5,12.7444443677961
321,8,2468,2004,3,1136,1136,970,12099,1,5,12.777052192115912
322,7,2730,1986,2,1502,1553,28,10380,1,5,12.614865543731012
323,3,1163,1955,1,1162,1163,256,5820,1,8,11.745425111208464
324,7,2978,1967,2,710,1898,0,11275,1,7,12.396693005138824
325,5,803,1941,2,720,803,116,5000,2,6,11.37366339763672
326,8,1719,1993,2,1719,1719,1619,10846,1,5,12.688498794774466
327,6,1383,1960,1,1383,1383,565,11600,1,5,11.886211674714158
328,6,2134,1916,2,844,1445,0,11888,2,6,12.27606501735021
329,5,1192,1920,1,596,596,0,6402,2,5,11.26446410567173
330,5,1728,1964,1,1728,1728,40,10624,1,4,11.686878772093667
331,5,1056,1958,1,1056,1056,846,8176,1,6,11.842229212112828
333,7,1358,2004,2,1358,1358,720,8198,1,5,12.240474072247506
334,6,1638,1998,2,943,943,828,9042,1,5,12.165250651009918
335,5,1786,1965,2,1499,1619,1249,164660,1,6,12.341258918085241
336,9,1922,2005,3,1922,1922,1249,14157,1,5,12.841129801965447
337,7,1536,2002,2,1536,1536,810,9135,1,5,12.273731294003989
338,7,1621,1984,2,1208,1621,213,14145,1,7,12.218495165528731
339,6,1215,1958,1,1215,1215,585,12400,1,7,11.951180395901384
340,8,1908,2002,2,967,993,0,14191,1,5,12.220468525813907
341,4,841,1950,1,721,841,0,8400,1,4,11.314474526246391
343,9,1684,2005,2,1684,1684,28,8849,1,5,12.491251587763836
344,5,1112,1976,1,536,536,129,2592,1,3,11.350406535472453
345,6,1577,1939,1,972,972,0,6435,1,5,11.850825253582627
346,6,958,1960,1,958,958,498,12772,1,8,11.928340903931561
347,6,1478,1960,2,1478,1478,1270,17600,1,5,11.967180737247824
348,7,1626,2003,2,764,764,573,2448,1,5,11.944707881395766
349,9,2728,2005,3,1848,1848,1410,20431,1,5,12.988040814744458
351,7,1453,1986,2,1453,1453,1082,5271,1,5,12.154779351142624
352,5,1111,1941,1,616,616,236,9084,2,6,11.461632170582678
353,6,720,1928,2,624,720,0,8520,1,8,11.570250531589497
354,6,1595,1940,1,940,1192,388,8400,1,5,11.84939770159144
355,6,1200,1995,2,1200,1200,334,11249,1,5,12.086725887897607
356,6,1167,1992,2,1158,1167,560,9248,1,6,12.061046873479915
357,5,1142,1976,2,1142,1142,874,4224,1,5,11.805595078933049
358,5,1352,1958,1,1062,1352,300,6930,1,4,11.77528972943772
359,8,1924,1998,2,1086,1086,956,12011,1,5,12.542544882151386
360,6,912,1978,2,888,912,773,7540,1,6,11.957611286231675
361,5,1505,1940,1,883,988,399,9144,1,5,11.884489021402711
363,6,987,1972,1,483,483,162,1680,1,8,11.678439903447801
364,6,1574,1976,2,796,790,712,18800,1,5,12.154779351142624
