,HalfBath,KitchenAbvGr,FullBath,OverallCond,BsmtHalfBath,BedroomAbvGr,OverallQual,GarageCars,Fireplaces,BsmtFullBath,SalePrice_log
0,1,1,2,5,0,3,7,2,0,1,12.247694320220994
1,0,1,2,8,1,3,6,2,1,0,12.109010932687042
2,1,1,2,5,0,3,7,2,1,1,12.31716669303576
3,0,1,1,5,0,3,7,3,1,1,11.84939770159144
4,1,1,2,5,0,4,8,3,1,1,12.429216196844383
5,1,1,1,5,0,1,5,2,0,1,11.870599909242044
6,0,1,2,5,0,3,8,2,1,1,12.634603026569334
7,1,1,2,6,0,3,7,2,2,1,12.206072645530174
8,0,2,2,5,0,2,7,2,2,0,11.77452020265869
9,0,2,1,6,0,2,5,1,2,1,11.678439903447801
10,0,1,1,5,0,3,5,1,0,1,11.771436160121729
11,0,1,3,5,0,4,9,3,2,1,12.751299696013497
12,0,1,1,6,0,2,5,1,0,1,11.877568578558138
13,0,1,2,5,0,3,7,3,1,0,12.540757571577291
14,1,1,1,5,0,2,6,1,1,1,11.964001084330445
15,0,1,1,8,0,2,7,2,0,0,11.790557201568507
16,0,1,1,7,0,2,6,2,1,1,11.911701584927597
18,1,1,1,5,0,3,5,2,0,1,11.976659481202368
19,0,1,1,6,0,3,5,1,0,0,11.842229212112828
20,1,1,3,5,0,4,8,3,1,0,12.692503112461443
21,0,1,1,7,0,3,7,1,1,0,11.845102777308561
23,0,1,1,7,0,3,5,2,1,1,11.77452020265869
24,0,1,1,8,0,3,5,1,1,1,11.944707881395766
25,0,1,2,5,0,3,8,3,1,0,12.454103912352162
26,0,1,1,7,1,3,5,2,0,0,11.811547477460344
27,0,1,2,5,0,3,8,3,1,1,12.631340380934517
28,0,1,1,6,0,2,5,1,2,1,12.24288661865289
29,0,1,1,6,0,1,4,1,0,0,11.134589024250317
30,0,1,1,4,0,3,4,1,0,0,10.596634733096073
31,1,1,1,6,0,3,5,1,0,0,11.914047823644255
32,0,1,2,5,0,3,8,2,0,0,12.100156419938624
33,1,1,1,5,1,4,5,2,1,0,12.016726473799254
34,0,1,2,5,0,2,9,2,1,1,12.533576212168626
35,1,1,3,5,0,4,8,3,1,0,12.641096555879882
36,1,1,1,5,0,3,5,2,0,0,11.884489021402711
37,0,1,1,6,1,3,5,2,1,0,11.938193200374572
38,0,1,1,7,0,3,5,1,0,1,11.59910316121128
40,0,1,2,5,0,3,6,2,1,0,11.982929094215963
41,1,1,1,6,1,2,5,1,2,0,12.043553716032399
42,0,1,1,7,0,2,5,2,0,1,11.877568578558138
43,0,1,1,6,0,3,5,1,0,1,11.777210959615614
44,0,1,1,6,0,3,5,1,0,1,11.856515169360305
45,0,1,2,5,0,2,9,2,1,1,12.675763725937609
46,1,1,1,5,0,1,7,2,1,1,12.387085012375499
47,0,1,2,5,0,3,8,3,0,0,12.428015476267865
48,0,3,2,5,0,2,4,0,0,0,11.635143097694478
49,0,1,1,7,0,3,5,1,0,1,11.751942365440728
50,0,1,2,6,1,3,6,2,0,0,12.083905011555967
51,0,1,1,6,0,3,6,2,1,0,11.648330101976432
52,0,1,1,5,0,2,5,2,0,1,11.608235644774552
53,1,1,0,5,0,0,9,3,1,2,12.86099861326992
54,0,1,1,5,0,3,5,2,1,0,11.77528972943772
55,0,1,2,5,0,3,6,2,1,0,12.103486056755072
56,1,1,2,5,0,3,8,2,0,1,12.058152515453552
57,1,1,2,5,0,3,7,2,0,0,12.188417710291453
58,1,1,3,5,0,3,10,3,1,0,12.991753427493052
59,0,1,1,7,0,2,5,1,0,0,11.73526869611367
60,1,1,1,5,0,3,6,2,0,1,11.970350312009105
61,0,1,1,7,0,3,5,1,0,0,11.522875795823397
62,0,1,2,5,0,2,8,2,1,0,12.218495165528731
63,0,1,2,6,0,3,7,2,0,0,11.84939770159144
64,1,1,2,5,0,3,7,2,0,1,12.299107511497363
65,1,1,2,5,0,4,8,3,1,0,12.666657052859417
67,0,1,2,5,0,3,7,2,0,1,12.328290278254423
68,0,1,1,6,0,2,4,1,0,0,11.289781913656018
69,0,1,2,4,0,3,7,2,1,0,12.323855681186558
71,0,1,1,6,0,2,4,2,0,1,11.771436160121729
72,1,1,2,5,0,3,7,2,1,0,12.128111104060462
73,0,1,1,7,0,3,5,2,0,1,11.883799128308773
74,0,2,2,6,0,3,3,1,0,0,11.584315461056901
75,0,1,1,5,0,2,4,1,0,1,11.418614785498987
76,0,1,1,7,0,2,4,1,0,0,11.818570237796182
77,0,1,1,5,0,2,5,1,0,1,11.751942365440728
79,1,1,1,6,0,2,5,2,0,0,11.608235644774552
80,1,1,2,6,0,4,6,1,1,0,12.173032791451973
81,0,1,2,5,0,2,6,2,0,1,11.941455846009388
82,0,1,2,5,0,3,8,3,1,0,12.409013489526863
83,1,1,1,5,0,3,5,2,0,0,11.747997587149712
84,1,1,2,5,0,3,7,2,1,0,12.034691028774553
85,1,1,2,5,0,4,8,2,1,0,12.468436909997665
86,1,1,2,5,0,3,6,2,1,0,12.066810578196666
87,1,1,2,5,0,2,6,2,0,0,12.010665849187564
88,0,1,1,2,0,2,3,0,0,0,11.350406535472453
89,0,1,1,5,0,3,4,0,0,1,11.724805824005728
91,0,1,1,3,0,2,5,2,0,0,11.498826540590727
92,0,1,1,7,0,2,5,2,0,1,12.004568269319446
93,0,2,2,6,1,4,6,2,1,0,11.804848531679264
94,1,1,2,5,0,3,6,2,0,1,12.229545001715316
95,1,1,2,8,0,3,6,2,1,0,12.128111104060462
96,0,1,2,5,0,3,7,2,0,0,12.273731294003989
97,0,1,1,5,0,3,4,1,0,1,11.458997122944673
98,0,1,1,5,0,2,5,1,0,0,11.326595886778735
99,1,1,1,5,0,3,4,0,0,1,11.76718001130949
100,0,1,2,7,0,3,6,2,2,1,12.230765258120545
101,1,1,2,5,0,3,6,2,1,0,12.089538829274222
103,0,1,2,5,0,3,7,3,0,0,12.200557464842063
104,1,1,1,4,0,4,7,1,2,0,12.040608205802641
105,1,1,2,5,0,3,8,2,1,0,12.429216196844383
106,0,1,1,7,0,2,4,1,0,0,11.512925464970229
107,0,1,1,5,0,2,5,1,0,0,11.652687407345388
108,0,1,2,7,0,3,5,0,0,0,11.652687407345388
109,0,1,2,6,0,3,6,2,1,0,12.154779351142624
110,0,1,2,4,0,4,6,1,0,0,11.82700601127654
111,1,1,2,5,0,3,7,2,1,0,12.100712129872347
112,1,1,2,5,0,4,7,3,1,1,12.858319703517948
114,1,1,2,8,0,3,6,1,1,1,12.46651198158808
115,1,1,2,5,0,2,6,2,1,0,12.078239274020289
116,0,1,1,5,1,3,5,1,1,0,11.842229212112828
117,1,1,1,5,0,2,5,2,0,0,11.951180395901384
118,0,1,3,5,0,5,7,3,2,1,12.676076274775909
119,1,1,2,5,0,3,6,2,1,0,12.007560729337492
120,0,1,1,5,0,1,6,2,2,1,12.100712129872347
121,0,1,1,5,0,3,4,1,0,0,11.512925464970229
122,0,1,1,7,0,3,6,1,0,0,11.820410164718188
123,0,1,2,5,0,2,6,2,0,0,11.94405831982697
124,0,1,2,5,0,3,6,2,1,0,12.106252310247962
125,0,1,1,8,0,2,6,0,0,1,11.344506813345266
126,0,1,2,5,0,2,6,2,1,0,11.759785542901755
127,0,1,1,7,0,3,5,0,1,0,11.37366339763672
128,1,1,1,5,0,3,6,2,1,0,11.951180395901384
129,1,1,1,7,1,3,5,2,0,0,11.918390573078392
130,1,1,2,6,0,4,7,2,2,0,12.328290278254423
131,1,1,2,5,0,3,6,2,1,1,12.404923504275338
132,0,1,1,6,0,3,5,2,0,1,11.923378114589433
133,0,1,2,5,0,2,8,2,0,1,12.301382825334498
134,1,1,2,6,0,3,5,2,1,0,12.100712129872347
135,0,1,2,6,0,3,7,2,1,0,12.066810578196666
136,0,1,2,5,0,3,5,1,1,0,11.870599909242044
138,1,1,2,5,0,3,8,3,2,0,12.345834587905333
139,1,1,2,5,0,3,6,2,0,1,12.352335152508426
140,0,1,1,5,0,3,4,0,1,0,11.652687407345388
141,0,1,2,5,0,3,7,2,0,1,12.468436909997665
142,0,1,2,4,0,4,5,2,0,0,12.01974306733868
143,0,1,2,5,0,3,7,2,0,1,12.225875272826354
144,0,2,2,5,0,6,5,2,0,1,11.736069016284437
145,0,1,2,5,0,3,6,2,0,0,11.77528972943772
146,0,1,1,7,0,2,5,1,0,1,11.56171562913966
147,1,1,2,5,0,3,7,2,1,0,12.312682380588432
148,0,1,1,5,0,3,7,0,0,1,11.856515169360305
149,0,1,1,4,0,3,5,1,0,0,11.652687407345388
150,1,1,1,6,0,3,5,2,0,0,11.711776323715394
151,0,1,2,5,0,2,8,3,1,1,12.827729194939907
152,1,1,2,5,0,4,6,2,1,0,12.154779351142624
153,0,1,1,7,0,1,6,2,1,1,12.367340793126296
154,0,1,1,5,0,4,6,1,0,0,11.736069016284437
155,0,1,1,5,0,2,6,0,0,0,11.27720313144916
157,1,1,2,5,0,4,8,3,1,0,12.504323669331189
158,1,1,2,5,0,3,7,2,1,0,12.448626590364206
159,1,1,2,5,0,4,7,2,1,1,12.676076274775909
160,0,1,2,6,0,3,6,2,0,0,11.998433280751929
161,1,1,2,5,0,3,9,3,2,1,12.929991484756872
162,0,1,2,5,0,3,7,2,1,0,12.301382825334498
163,0,1,1,6,0,1,4,0,0,0,11.544424132029599
164,0,1,2,7,0,3,6,1,0,0,11.931635799828413
165,0,2,2,7,0,4,5,0,0,1,11.755871643580617
166,0,1,1,5,0,2,5,1,3,1,12.154779351142624
167,1,1,1,5,0,3,8,3,1,1,12.693498620467778
168,1,1,2,5,0,3,7,2,1,0,12.119969946476761
170,1,1,1,6,0,2,5,2,0,0,11.763684183317412
171,0,1,1,5,0,3,6,2,2,1,12.2783933071098
172,0,1,2,7,0,2,7,2,1,1,12.384218830913648
173,1,1,1,5,0,3,6,2,1,1,12.0015054797889
174,0,1,2,5,0,3,6,2,1,1,12.122691036591123
176,1,1,2,5,1,4,6,2,1,0,12.259613412458204
177,0,1,2,5,0,4,5,2,1,1,12.058152515453552
179,0,1,1,6,0,2,5,2,0,0,11.512925464970229
180,1,1,2,5,0,3,6,2,1,0,12.083905011555967
181,1,1,1,6,0,4,7,1,1,0,12.206572520571825
183,1,1,2,5,0,3,7,2,0,0,12.206072645530174
184,0,1,1,8,0,3,5,2,0,0,11.751942365440728
185,1,1,2,9,0,4,10,3,2,0,13.071070083016778
186,0,1,2,5,0,3,7,2,0,1,12.061046873479915
187,1,1,2,7,0,3,5,1,0,0,11.813030057420567
188,2,2,0,5,0,2,5,2,2,2,11.940393392554734
189,1,1,1,5,0,0,8,2,1,1,12.56374708980199
190,1,1,2,8,0,3,8,2,2,0,12.66032791780777
191,1,1,1,9,0,4,7,2,0,1,12.122691036591123
192,0,1,2,5,0,3,7,2,0,1,12.165250651009918
193,0,1,2,5,0,3,7,2,0,0,11.77528972943772
194,0,1,1,7,0,3,5,1,0,0,11.751942365440728
195,1,1,2,6,0,3,6,2,1,0,11.908340237224891
196,0,1,2,5,0,3,7,3,1,1,12.650348126203179
197,0,1,2,4,1,4,8,2,1,1,12.367340793126296
198,0,1,1,6,0,5,6,0,0,0,11.55214617812351
199,0,1,2,5,0,3,8,3,1,1,12.524162674153336
200,0,1,2,5,0,2,4,2,0,0,11.84939770159144
201,0,1,2,6,1,3,6,2,2,0,12.052338545588132
202,0,1,2,6,0,2,6,1,0,0,11.626254150277232
203,0,1,1,5,0,1,6,2,1,1,11.911701584927597
204,1,1,1,7,0,2,5,1,0,0,11.608235644774552
205,0,1,2,5,0,3,7,2,0,0,12.103486056755072
206,1,1,1,5,0,3,5,1,1,0,11.876873892875459
207,0,1,1,5,0,3,4,1,1,1,11.856515169360305
208,1,1,2,5,0,3,7,2,1,1,12.531772785169476
209,0,1,1,7,0,3,6,2,0,1,11.884489021402711
210,0,1,1,6,0,2,5,0,0,1,11.49272275765271
211,0,1,2,5,0,3,6,2,0,0,12.133501952695338
212,1,1,2,5,0,3,7,2,1,1,12.439871229831715
213,0,1,1,5,1,3,5,2,0,0,11.957611286231675
214,1,1,1,7,0,3,6,1,0,0,11.993807212363148
215,0,1,1,6,1,2,5,1,1,0,11.80894766169701
216,0,1,2,5,0,3,7,2,0,1,12.254862809699606
217,0,1,1,4,0,3,4,1,0,0,11.580584113444043
218,1,1,1,9,1,3,7,2,2,0,12.649154617209645
219,0,1,2,5,0,2,7,2,0,0,12.0271851854705
220,0,1,2,5,0,2,7,2,0,0,12.230277334226992
221,1,1,2,5,0,4,6,2,1,0,12.206072645530174
222,1,1,2,6,0,3,6,2,1,1,12.100156419938624
223,0,1,1,6,0,2,4,2,0,0,11.48246625748552
225,1,1,2,5,0,3,5,1,0,0,11.626254150277232
226,1,1,2,5,0,4,7,3,1,0,12.577636201962656
227,1,1,1,6,0,2,6,1,0,0,11.571194373094205
228,0,1,1,5,0,3,5,1,1,0,11.736069016284437
229,0,1,2,5,0,2,7,2,1,0,12.167851432709975
230,0,1,1,6,0,3,6,1,0,1,11.904967552746252
231,1,1,2,5,0,4,8,3,1,1,12.90669184092882
232,1,1,1,5,0,2,6,1,1,0,11.456355113481834
233,0,1,1,6,0,3,5,1,0,1,11.761346823468706
234,1,1,2,5,0,4,6,2,2,1,12.285345826424681
235,1,1,1,3,0,2,6,1,0,0,11.401993904262946
236,0,1,2,5,0,3,7,2,0,0,12.130810161029627
237,1,1,2,7,0,3,7,2,0,0,12.178187442040638
239,1,1,1,4,0,3,6,1,1,0,11.635143097694478
240,0,1,2,5,0,3,8,2,0,1,12.478006361013815
241,0,1,1,9,0,2,5,0,0,0,11.612770799939945
242,0,1,1,4,0,3,5,1,0,0,11.27720313144916
243,1,1,1,6,0,3,6,1,1,0,11.695247021764184
244,1,1,2,5,0,3,7,2,2,1,12.230765258120545
245,0,1,2,5,1,3,7,2,1,0,12.394624752074764
246,0,2,2,8,0,4,6,1,0,0,11.827736204810263
247,0,1,1,5,0,2,6,2,1,0,11.84939770159144
248,1,1,2,5,0,3,7,2,0,0,12.100712129872347
249,0,1,2,7,1,4,6,2,2,0,12.531772785169476
250,0,1,1,2,0,3,3,0,0,0,11.245046019814627
251,0,1,2,5,1,2,8,2,1,1,12.367340793126296
252,1,1,2,5,0,3,6,2,0,0,12.061046873479915
253,0,1,2,7,1,3,6,1,0,0,11.970350312009105
254,0,1,1,6,0,3,5,1,0,1,11.884489021402711
255,1,1,2,5,0,4,7,2,1,0,12.345834587905333
256,1,1,2,5,0,3,6,2,0,0,12.24288661865289
257,1,1,2,5,0,3,7,2,1,1,12.301382825334498
258,1,1,2,5,0,3,7,2,1,0,12.352335152508426
260,0,1,1,5,0,3,6,2,1,1,12.078239274020289
261,1,1,2,5,0,3,8,3,1,0,12.528156144699286
262,0,1,1,7,0,3,6,2,1,1,11.925035115797062
263,0,1,1,7,0,3,5,2,0,1,11.77528972943772
264,0,1,1,5,0,2,5,2,0,0,11.198214720130528
265,0,1,2,6,0,3,6,2,1,0,12.075394321888057
266,1,1,2,5,0,3,6,2,1,1,12.128111104060462
267,1,1,2,8,0,4,5,1,1,0,12.097930486910471
268,0,1,1,6,0,2,5,1,1,0,11.699405031912846
269,1,1,1,7,0,3,6,1,1,1,11.904967552746252
270,1,1,2,5,0,3,8,3,1,0,12.491251587763836
271,0,1,1,7,0,2,7,2,2,1,12.394624752074764
272,1,1,2,7,0,4,8,3,1,0,12.577636201962656
273,0,1,2,6,0,3,6,1,1,1,11.842229212112828
274,0,1,1,7,0,2,5,1,0,0,11.732060994886899
275,1,1,2,7,0,3,7,2,0,0,12.230765258120545
276,0,1,2,5,0,3,7,2,0,0,12.211060187041213
277,0,1,1,5,0,2,4,2,0,0,11.856515169360305
279,1,1,2,5,0,4,7,2,1,0,12.165250651009918
280,1,1,2,6,0,3,7,2,1,0,12.339291489316397
281,0,1,2,5,0,2,6,2,0,0,12.128111104060462
282,0,1,2,5,0,2,7,2,1,1,12.24288661865289
283,0,1,2,5,0,3,8,3,1,0,12.407379502235209
284,0,1,2,5,0,2,6,2,0,1,12.096257779522967
285,1,1,2,5,0,2,7,2,0,0,12.011880916165731
286,1,1,1,7,0,3,6,2,1,0,11.976659481202368
287,0,1,1,4,0,3,4,0,0,0,11.385092093460344
288,0,1,1,5,0,3,5,1,0,0,11.711776323715394
289,0,1,1,7,0,3,6,1,0,0,11.941944326032129
290,1,1,2,5,0,3,8,2,1,0,12.359780370124389
291,0,1,2,6,0,6,5,0,0,1,11.819674600139235
292,1,1,1,4,0,3,5,1,1,0,11.782952602183288
293,1,1,2,7,0,3,7,2,1,1,12.367340793126296
294,0,1,1,5,0,3,6,2,2,1,12.025749091398891
295,0,1,1,6,0,3,6,2,0,1,11.867097278690842
296,1,1,1,5,0,4,5,1,0,0,11.931635799828413
297,1,1,2,5,0,3,7,2,1,0,12.384218830913648
298,2,1,1,6,1,3,6,2,1,0,12.072541252905651
299,0,1,1,8,1,3,6,1,1,0,11.973509872299472
300,0,1,1,5,0,2,5,1,2,1,11.964001084330445
301,1,1,2,5,0,4,8,2,1,0,12.495003937382387
302,0,1,2,5,0,3,7,3,1,0,12.230765258120545
303,0,1,1,7,0,3,5,2,0,1,11.917723684090689
304,0,1,3,9,0,3,7,3,1,0,12.594730635321957
306,1,1,2,5,0,4,7,3,1,1,12.323855681186558
307,0,1,1,7,0,3,6,0,0,0,11.401993904262946
308,0,1,1,5,0,1,4,2,0,0,11.320553572322773
309,0,1,2,5,0,3,9,3,3,1,12.793859310432293
310,1,1,2,5,0,3,6,2,1,0,12.017330520933296
311,0,1,1,6,0,2,6,1,1,1,11.790557201568507
312,0,1,1,7,0,3,5,2,1,1,11.694413341015606
314,1,1,1,7,1,3,7,2,1,0,12.089538829274222
315,1,1,2,5,0,3,7,2,1,1,12.146853285870202
316,1,1,2,7,0,4,7,2,1,1,12.468436909997665
317,1,1,2,5,0,3,8,3,1,0,12.506177237980511
318,1,1,2,5,0,4,7,3,1,1,12.468436909997665
319,0,1,2,5,0,3,7,2,2,1,12.141534124392603
320,1,1,3,5,0,4,9,3,0,0,12.7444443677961
321,1,1,2,5,0,4,8,3,1,1,12.777052192115912
322,1,1,2,5,0,4,7,2,1,1,12.614865543731012
323,0,1,1,8,0,3,3,1,0,1,11.745425111208464
324,1,1,2,7,0,5,7,2,1,0,12.396693005138824
325,0,1,1,6,0,2,5,2,0,0,11.37366339763672
326,1,1,1,5,0,1,8,2,2,2,12.688498794774466
327,1,1,1,5,0,3,6,1,0,0,11.886211674714158
328,0,1,2,6,0,5,6,2,0,0,12.27606501735021
329,0,1,1,5,0,3,5,1,0,0,11.26446410567173
330,0,2,2,4,1,6,5,1,0,0,11.686878772093667
331,0,1,1,6,0,3,5,1,0,1,11.842229212112828
333,0,1,2,5,0,2,7,2,1,1,12.240474072247506
334,1,1,2,5,0,3,6,2,2,1,12.165250651009918
335,0,1,2,6,0,3,5,2,2,2,12.341258918085241
336,0,1,2,5,0,3,9,3,1,1,12.841129801965447
337,0,1,2,5,0,3,7,2,0,1,12.273731294003989
338,0,1,2,7,0,3,7,2,0,1,12.218495165528731
339,0,1,1,7,0,3,6,1,0,0,11.951180395901384
340,1,1,2,5,0,4,8,2,0,0,12.220468525813907
341,0,1,1,4,0,2,4,1,0,0,11.314474526246391
343,0,1,2,5,0,2,9,2,1,0,12.491251587763836
344,1,1,1,3,0,3,5,1,0,0,11.350406535472453
345,0,1,1,5,0,3,6,1,1,0,11.850825253582627
346,0,1,1,8,0,2,6,1,0,0,11.928340903931561
347,0,1,2,5,0,3,6,2,2,1,11.967180737247824
348,1,1,2,5,0,2,7,2,0,1,11.944707881395766
349,1,1,2,5,0,4,9,3,2,1,12.988040814744458
351,1,1,1,5,0,2,7,2,1,1,12.154779351142624
352,0,1,1,6,1,3,5,1,0,0,11.461632170582678
353,0,1,1,8,0,2,6,2,0,0,11.570250531589497
354,0,1,1,5,0,2,6,1,2,0,11.84939770159144
355,0,1,2,5,0,3,6,2,0,1,12.086725887897607
356,0,1,2,6,0,3,6,2,0,1,12.061046873479915
357,1,1,1,5,0,3,5,2,1,1,11.805595078933049
358,0,1,1,4,1,3,5,1,0,0,11.77528972943772
359,1,1,2,5,0,3,8,2,1,1,12.542544882151386
360,0,1,1,6,0,2,6,2,1,1,11.957611286231675
361,0,1,1,5,0,3,5,1,0,1,11.884489021402711
363,1,1,1,8,0,2,6,1,0,0,11.678439903447801
364,1,1,2,5,0,3,6,2,1,1,12.154779351142624
365,0,1,1,7,0,3,5,1,0,0,11.898187865760873
