,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,GarageArea,1stFlrSF,YearBuilt,BsmtFinSF1,LotArea,OverallCond,SalePrice_log
0,7,1710,2,856,548,856,2003,706,8450,5,12.247694320220994
1,6,1262,2,1262,460,1262,1976,978,9600,8,12.109010932687042
2,7,1786,2,920,608,920,2001,486,11250,5,12.31716669303576
3,7,1717,3,756,642,961,1915,216,9550,5,11.84939770159144
4,8,2198,3,1145,836,1145,2000,655,14260,5,12.429216196844383
5,5,1362,2,796,480,796,1993,732,14115,5,11.870599909242044
6,8,1694,2,1686,636,1694,2004,1369,10084,5,12.634603026569334
7,7,2090,2,1107,484,1107,1973,859,10382,6,12.206072645530174
8,7,1774,2,952,468,1022,1931,0,6120,5,11.77452020265869
9,5,1077,1,991,205,1077,1939,851,7420,6,11.678439903447801
10,5,1040,1,1040,384,1040,1965,906,11200,5,11.771436160121729
11,9,2324,3,1175,736,1182,2005,998,11924,5,12.751299696013497
12,5,912,1,912,352,912,1962,737,12968,6,11.877568578558138
13,7,1494,3,1494,840,1494,2006,0,10652,5,12.540757571577291
14,6,1253,1,1253,352,1253,1960,733,10920,5,11.964001084330445
15,7,854,2,832,576,854,1929,0,6120,8,11.790557201568507
16,6,1004,2,1004,480,1004,1970,578,11241,7,11.911701584927597
18,5,1114,2,1114,576,1114,2004,646,13695,5,11.976659481202368
19,5,1339,1,1029,294,1339,1958,504,7560,6,11.842229212112828
20,8,2376,3,1158,853,1158,2005,0,14215,5,12.692503112461443
21,7,1108,1,637,280,1108,1930,0,7449,7,11.845102777308561
23,5,1060,2,1040,572,1060,1976,840,4224,7,11.77452020265869
24,5,1060,1,1060,270,1060,1968,188,8246,8,11.944707881395766
25,8,1600,3,1566,890,1600,2007,0,14230,5,12.454103912352162
26,5,900,2,900,576,900,1951,234,7200,7,11.811547477460344
27,8,1704,3,1704,772,1704,2007,1218,11478,5,12.631340380934517
28,5,1600,1,1484,319,1600,1957,1277,16321,6,12.24288661865289
29,4,520,1,520,240,520,1927,0,6324,6,11.134589024250317
30,4,1317,1,649,250,649,1920,0,8500,4,10.596634733096073
31,5,1228,1,1228,271,1228,1966,0,8544,6,11.914047823644255
32,8,1234,2,1234,484,1234,2007,0,11049,5,12.100156419938624
33,5,1700,2,1398,447,1700,1959,1018,10552,5,12.016726473799254
34,9,1561,2,1561,556,1561,2005,1153,7313,5,12.533576212168626
35,8,2452,3,1117,691,1132,2004,0,13418,5,12.641096555879882
36,5,1097,2,1097,672,1097,1994,0,10859,5,11.884489021402711
37,5,1297,2,1297,498,1297,1954,1213,8532,6,11.938193200374572
38,5,1057,1,1057,246,1057,1953,731,7922,7,11.59910316121128
40,6,1324,2,1088,440,1324,1965,643,8658,5,11.982929094215963
41,5,1328,1,1350,308,1328,1959,967,16905,6,12.043553716032399
42,5,884,2,840,504,884,1983,747,9180,7,11.877568578558138
43,5,938,1,938,308,938,1975,280,9200,6,11.777210959615614
44,5,1150,1,1150,300,1150,1959,179,7945,6,11.856515169360305
45,9,1752,2,1752,576,1752,2005,456,7658,5,12.675763725937609
46,7,2149,2,1434,670,1518,2003,1351,12822,5,12.387085012375499
47,8,1656,3,1656,826,1656,2006,24,11096,5,12.428015476267865
48,4,1452,0,736,0,736,1920,0,4456,5,11.635143097694478
49,5,955,1,955,386,955,1966,763,7742,7,11.751942365440728
50,6,1470,2,794,388,794,1997,182,13869,6,12.083905011555967
51,6,1176,2,816,528,816,1934,0,6240,6,11.648330101976432
52,5,816,2,816,516,816,1963,104,8472,5,11.608235644774552
53,9,1842,3,1842,894,1842,1981,1810,50271,5,12.86099861326992
54,5,1360,2,384,572,1360,1955,384,7134,5,11.77528972943772
55,6,1425,2,1425,576,1425,1964,490,10175,5,12.103486056755072
56,8,1739,2,970,480,983,1999,649,2645,5,12.058152515453552
57,7,1720,2,860,565,860,2004,0,11645,5,12.188417710291453
58,10,2945,3,1410,641,1426,2006,0,13682,5,12.991753427493052
59,5,780,1,780,352,780,1972,632,7200,7,11.73526869611367
60,6,1158,2,1158,576,1158,2004,941,13072,5,11.970350312009105
61,5,1111,1,530,288,581,1920,0,7200,7,11.522875795823397
62,8,1370,2,1370,484,1370,2006,24,6442,5,12.218495165528731
63,7,1710,2,576,480,902,1921,0,10300,6,11.84939770159144
64,7,2034,2,1057,645,1057,1997,739,9375,5,12.299107511497363
65,8,2473,3,1143,852,1143,2004,0,9591,5,12.666657052859417
67,7,1479,2,1453,558,1479,2003,1013,10665,5,12.328290278254423
68,4,747,1,747,220,747,1945,0,4608,6,11.289781913656018
69,7,2287,2,1304,667,1304,1953,603,15593,4,12.323855681186558
71,4,845,2,845,360,845,1982,565,7599,6,11.771436160121729
72,7,1718,2,832,427,885,1998,0,10141,5,12.128111104060462
73,5,1086,2,1086,490,1086,1954,320,10200,7,11.883799128308773
74,3,1605,1,840,379,840,1915,0,5790,6,11.584315461056901
75,4,988,1,462,297,526,1973,462,1596,5,11.418614785498987
76,4,952,1,952,283,952,1956,228,8475,7,11.818570237796182
77,5,1285,1,672,240,1072,1948,336,8635,5,11.751942365440728
79,5,1230,2,440,440,682,1910,0,10440,6,11.608235644774552
80,6,2142,1,896,509,1182,1968,448,13000,6,12.173032791451973
81,6,1337,2,1237,405,1337,1998,1201,4500,5,11.941455846009388
82,8,1563,3,1563,758,1563,2007,33,10206,5,12.409013489526863
83,5,1065,2,1065,461,1065,1960,0,8892,5,11.747997587149712
84,7,1474,2,384,400,804,1995,0,8530,5,12.034691028774553
85,8,2417,2,1288,462,1301,1991,0,16059,5,12.468436909997665
86,6,1560,2,684,400,684,2005,0,11911,5,12.066810578196666
87,6,1224,2,612,528,612,2009,0,3951,5,12.010665849187564
88,3,1526,0,1013,0,1013,1915,0,8470,2,11.350406535472453
89,4,990,0,990,0,990,1994,588,8070,5,11.724805824005728
91,5,1235,2,1235,480,1235,1961,600,8500,3,11.498826540590727
92,5,964,2,876,432,964,1921,713,13360,7,12.004568269319446
93,6,2291,2,1214,506,1260,1910,1046,7200,6,11.804848531679264
94,6,1786,2,824,684,905,1997,648,9337,5,12.229545001715316
95,6,1470,2,680,420,680,1993,310,9765,8,12.128111104060462
96,7,1588,2,1588,472,1588,1999,1162,10264,5,12.273731294003989
97,4,960,1,960,432,960,1965,520,10921,5,11.458997122944673
98,5,835,1,458,366,835,1920,108,10625,5,11.326595886778735
99,4,1225,0,950,0,1225,1959,569,9320,5,11.76718001130949
100,6,1610,2,1610,480,1610,1977,1200,10603,7,12.230765258120545
101,6,1732,2,741,476,977,1985,0,9206,5,12.089538829274222
103,7,1226,3,1226,740,1226,2009,0,10402,5,12.200557464842063
104,7,1818,1,1040,240,1226,1931,224,7758,4,12.040608205802641
105,8,1992,2,1053,648,1053,2003,0,9375,5,12.429216196844383
106,4,1047,1,641,273,1047,1885,0,10800,7,11.512925464970229
107,5,789,1,789,250,789,1948,104,6000,5,11.652687407345388
108,5,1517,0,793,0,997,1919,0,8500,7,11.652687407345388
109,6,1844,2,1844,546,1844,1977,705,11751,6,12.154779351142624
110,6,1855,1,994,325,1216,1954,444,9525,4,11.82700601127654
111,7,1430,2,384,400,774,2000,250,7750,5,12.100712129872347
112,7,2696,3,1264,792,1282,2007,984,9965,5,12.858319703517948
114,6,2320,1,1028,180,1436,1945,774,7259,8,12.46651198158808
115,6,1458,2,729,440,729,1999,419,3230,5,12.078239274020289
116,5,1092,1,1092,288,1092,1962,170,11616,5,11.842229212112828
117,5,1125,2,1125,430,1125,2006,0,8536,5,11.951180395901384
118,7,3222,3,1673,594,1699,1990,1470,12376,5,12.676076274775909
119,6,1456,2,728,390,728,2005,0,8461,5,12.007560729337492
120,6,988,2,938,540,988,1969,938,21453,5,12.100712129872347
121,4,1123,1,732,264,772,1939,0,6060,5,11.512925464970229
122,6,1080,1,1080,288,1080,1958,570,9464,7,11.820410164718188
123,6,1199,2,1199,530,1199,1993,300,7892,5,11.94405831982697
124,6,1586,2,1362,435,1586,1979,0,17043,5,12.106252310247962
125,6,754,0,520,0,520,1935,490,6780,8,11.344506813345266
126,6,958,2,1078,440,958,1976,120,4928,5,11.759785542901755
127,5,840,0,672,0,840,1930,116,4388,7,11.37366339763672
128,6,1348,2,660,453,660,1966,512,7590,5,11.951180395901384
129,5,1053,2,1008,750,1053,1958,567,8973,7,11.918390573078392
130,7,2157,2,924,487,1216,1966,445,14200,6,12.328290278254423
131,6,2054,2,992,390,1022,2000,695,12224,5,12.404923504275338
132,5,1327,2,1063,624,1327,1959,405,7388,6,11.923378114589433
133,8,1296,2,1267,471,1296,2001,1005,6853,5,12.301382825334498
134,5,1721,2,1461,440,1721,1968,570,10335,6,12.100712129872347
135,7,1682,2,1304,530,1682,1970,0,10400,6,12.066810578196666
136,5,1214,1,1214,318,1214,1967,695,10355,5,11.870599909242044
138,8,1852,3,1004,660,1004,1999,668,9066,5,12.345834587905333
139,6,1764,2,928,470,928,1997,821,15426,5,12.352335152508426
140,4,864,0,864,0,864,1971,432,10500,5,11.652687407345388
141,7,1734,2,1734,660,1734,2005,1300,11645,5,12.468436909997665
142,5,1385,2,910,720,910,1952,507,8520,4,12.01974306733868
143,7,1501,2,1490,577,1501,1999,679,10335,5,12.225875272826354
144,5,1728,2,1728,504,1728,1963,1332,9100,5,11.736069016284437
145,6,1709,2,970,380,970,2004,0,2522,5,11.77528972943772
146,5,875,1,715,180,875,1931,209,6120,7,11.56171562913966
147,7,2035,2,884,434,884,2001,0,9505,5,12.312682380588432
148,7,1080,0,1080,0,1080,2004,680,7500,5,11.856515169360305
149,5,1344,1,896,240,896,1936,0,6240,4,11.652687407345388
150,5,969,2,969,440,969,1975,716,10356,6,11.711776323715394
151,8,1710,3,1710,866,1710,2007,1400,13891,5,12.827729194939907
152,6,1993,2,825,495,1097,1971,416,14803,5,12.154779351142624
153,6,1252,2,1602,564,1252,1960,429,13500,7,12.367340793126296
154,6,1200,1,1200,312,1200,1923,0,11340,5,11.736069016284437
155,6,1096,0,572,0,572,1924,0,9600,5,11.27720313144916
157,8,1968,3,774,680,774,2009,0,12003,5,12.504323669331189
158,7,1947,2,991,678,991,2004,222,12552,5,12.448626590364206
159,7,2462,2,1392,576,1392,2005,57,19378,5,12.676076274775909
160,6,1232,2,1232,516,1232,1984,660,11120,6,11.998433280751929
161,9,2668,3,1572,726,1572,2003,1016,13688,5,12.929991484756872
162,7,1541,2,1541,532,1541,2005,1201,12182,5,12.301382825334498
163,4,882,0,882,0,882,1956,0,5500,6,11.544424132029599
164,6,1616,1,1149,216,1149,1926,370,5400,7,11.931635799828413
165,5,1355,0,644,0,808,1940,351,10106,7,11.755871643580617
166,5,1867,1,1617,303,1867,1955,379,10708,5,12.154779351142624
167,8,2161,3,1582,789,1610,2007,1288,10562,5,12.693498620467778
168,7,1720,2,840,440,840,2004,0,8244,5,12.119969946476761
170,5,1382,2,720,660,854,1941,360,12358,6,11.763684183317412
171,6,1656,2,1080,528,1656,1960,639,31770,5,12.2783933071098
172,7,1767,2,1064,504,1064,1987,495,5306,7,12.384218830913648
173,6,1362,2,1362,504,1362,1961,288,10197,5,12.0015054797889
174,6,1651,2,1606,616,1651,1986,1398,12416,5,12.122691036591123
176,6,2060,2,1151,521,1164,1988,831,10029,5,12.259613412458204
177,5,1920,2,1052,451,1252,1958,57,13650,5,12.058152515453552
179,5,968,2,968,480,968,1923,0,8520,6,11.512925464970229
180,6,1525,2,756,440,769,2000,436,2117,5,12.083905011555967
181,7,1802,1,793,216,901,1920,352,7588,6,12.206572520571825
183,7,2082,2,1362,484,1362,2003,0,11426,5,12.206072645530174
184,5,1252,2,504,576,936,1908,0,7438,8,11.751942365440728
185,10,3608,3,1107,840,1518,1892,0,22950,9,13.071070083016778
186,7,1217,2,1188,497,1217,1990,611,9947,5,12.061046873479915
187,5,1656,1,660,180,808,1916,0,10410,7,11.813030057420567
188,5,1224,2,1086,528,1224,1979,1086,7018,5,11.940393392554734
189,8,1593,2,1593,682,1593,2001,1153,4923,5,12.56374708980199
190,8,2727,2,853,440,1549,1932,297,10570,8,12.66032791780777
191,7,1479,2,725,484,725,1972,626,7472,9,12.122691036591123
192,7,1431,2,1431,666,1431,1999,560,9017,5,12.165250651009918
193,7,1709,2,970,380,970,2004,0,2522,5,11.77528972943772
194,5,864,1,864,352,864,1972,390,7180,7,11.751942365440728
195,6,1456,2,855,440,855,1976,566,2280,6,11.908340237224891
196,7,1726,3,1726,786,1726,2007,1126,9416,5,12.650348126203179
197,8,3112,2,1360,795,1360,1918,1036,25419,4,12.367340793126296
198,6,2229,0,755,0,929,1912,0,5520,6,11.55214617812351
199,8,1713,3,1713,856,1713,2004,1088,9591,5,12.524162674153336
200,4,1121,2,1121,440,1121,2003,0,8546,5,11.84939770159144
201,6,1279,2,1196,473,1279,1977,641,10125,6,12.052338545588132
202,6,1310,1,617,398,865,1924,617,7000,6,11.626254150277232
203,6,848,2,848,420,848,2004,662,4438,5,11.911701584927597
204,5,1284,1,720,240,720,1947,312,3500,7,11.608235644774552
205,7,1442,2,1424,500,1442,1990,0,11851,5,12.103486056755072
206,5,1696,1,1140,349,1696,1962,0,13673,5,11.876873892875459
207,4,1100,1,1100,312,1100,1960,419,12493,5,11.856515169360305
208,7,2062,2,1157,454,1180,1988,1065,14364,5,12.531772785169476
209,6,1092,2,1092,504,1092,1964,787,8250,7,11.884489021402711
210,5,864,0,864,0,864,1925,468,5604,6,11.49272275765271
211,6,1212,2,1212,460,1212,2009,36,10420,5,12.133501952695338
212,7,1852,2,900,644,932,2009,822,8640,5,12.439871229831715
213,5,990,2,990,576,990,1995,716,13568,5,11.957611286231675
214,6,1392,1,689,299,689,1977,378,10900,7,11.993807212363148
215,5,1236,1,1070,447,1236,1957,360,10011,6,11.80894766169701
216,7,1436,2,1436,484,1436,2004,946,8450,5,12.254862809699606
217,4,1328,1,686,210,810,1925,0,9906,4,11.580584113444043
218,7,1954,2,798,431,1137,1939,341,15660,9,12.649154617209645
219,7,1248,2,1248,438,1248,2005,16,3010,5,12.0271851854705
220,7,1498,2,1498,675,1498,2006,0,8990,5,12.230277334226992
221,6,2267,2,1010,390,1010,2002,0,8068,5,12.206072645530174
222,6,1552,2,713,434,811,1975,550,11475,6,12.100156419938624
223,4,864,2,864,576,864,1971,524,10500,6,11.48246625748552
225,5,1302,1,630,280,630,1971,0,1680,5,11.626254150277232
226,7,2520,3,1203,721,1214,1995,565,9950,5,12.577636201962656
227,6,987,1,483,280,483,1970,321,1869,6,11.571194373094205
228,5,912,1,912,336,912,1967,842,8521,5,11.736069016284437
229,7,1555,2,1373,430,1555,2005,16,3182,5,12.167851432709975
230,6,1194,1,1194,312,1194,1959,0,8760,6,11.904967552746252
231,8,2794,3,1462,810,1490,1995,689,15138,5,12.90669184092882
232,6,987,1,483,288,483,1972,0,1680,5,11.456355113481834
233,5,894,1,894,308,894,1976,182,10650,6,11.761346823468706
234,6,1960,2,860,440,860,2002,625,7851,5,12.285345826424681
235,6,987,1,483,264,483,1971,358,1680,3,11.401993904262946
236,7,1414,2,1414,494,1414,2004,24,8773,5,12.130810161029627
237,7,1744,2,996,457,1014,1993,402,9453,7,12.178187442040638
239,6,1487,1,735,220,798,1945,94,8741,4,11.635143097694478
240,8,1566,2,1566,750,1566,2008,1078,9000,5,12.478006361013815
241,5,866,0,686,0,866,1945,329,3880,9,11.612770799939945
242,5,1440,1,540,352,889,1900,0,5000,4,11.27720313144916
243,6,1217,1,626,288,626,1980,0,10762,6,11.695247021764184
244,7,2110,2,948,463,1222,1994,695,8880,5,12.230765258120545
245,7,1872,2,1845,604,1872,1988,929,10400,5,12.394624752074764
246,6,1928,1,1020,440,908,1910,0,9142,8,11.827736204810263
247,6,1375,2,1367,451,1375,1954,0,11310,5,11.84939770159144
248,7,1668,2,840,500,840,2003,0,11317,5,12.100712129872347
249,6,2144,2,1444,389,1444,1958,697,159000,7,12.531772785169476
250,3,1306,0,728,0,1306,1940,0,5350,2,11.245046019814627
251,8,1625,2,1573,538,1625,2006,1573,4750,5,12.367340793126296
252,6,1640,2,798,520,798,2004,0,8366,5,12.061046873479915
253,6,1302,1,1302,309,1302,1964,270,9350,7,11.970350312009105
254,5,1314,1,1314,294,1314,1957,922,8400,6,11.884489021402711
255,7,2291,2,975,429,1005,1999,0,8738,5,12.345834587905333
256,6,1728,2,864,673,864,2003,503,8791,5,12.24288661865289
257,7,1604,2,1604,660,1604,2006,1334,8814,5,12.301382825334498
258,7,1792,2,963,564,963,2001,361,12435,5,12.352335152508426
260,6,1382,2,1362,884,1382,1962,672,19296,5,12.078239274020289
261,8,2574,3,1482,868,1482,2007,0,9588,5,12.528156144699286
262,6,1212,2,506,492,1212,1977,506,8471,7,11.925035115797062
263,5,1316,2,926,484,926,1929,234,5500,7,11.77528972943772
264,5,764,2,680,504,764,1925,0,5232,5,11.198214720130528
265,6,1422,2,1422,576,1422,1981,588,12090,6,12.075394321888057
266,6,1511,2,802,413,802,1997,714,11207,5,12.128111104060462
267,5,2192,1,720,240,1052,1939,378,8400,8,12.097930486910471
268,5,778,1,740,924,778,1940,403,6900,6,11.699405031912846
269,6,1113,1,1143,504,1113,1976,751,7917,7,11.904967552746252
270,8,1939,3,1095,1053,1095,2006,0,10728,5,12.491251587763836
271,7,1363,2,1385,439,1363,1954,226,39104,7,12.394624752074764
272,8,2270,3,1152,671,1164,1999,524,11764,7,12.577636201962656
273,6,1632,1,1240,338,1632,1958,620,9600,6,11.842229212112828
274,5,816,1,816,264,816,1982,546,8314,7,11.732060994886899
275,7,1548,2,952,672,952,1925,0,7264,7,12.230765258120545
276,7,1560,2,1560,573,1560,2003,0,9196,5,12.211060187041213
277,4,864,2,864,400,864,1951,120,19138,5,11.856515169360305
279,7,2022,2,1160,505,1156,1977,392,10005,5,12.165250651009918
280,7,1982,2,807,575,1175,1989,421,11287,6,12.339291489316397
281,6,1262,2,1262,572,1262,2006,905,7200,5,12.128111104060462
282,7,1314,2,1314,626,1314,2007,904,5063,5,12.24288661865289
283,8,1468,3,1468,898,1468,2008,0,9612,5,12.407379502235209
284,6,1575,2,1575,529,1575,1992,430,8012,5,12.096257779522967
285,7,1250,2,625,528,625,2006,0,4251,5,12.011880916165731
286,6,1734,2,912,440,1085,1962,600,9786,7,11.976659481202368
287,4,858,0,858,0,858,1971,614,8125,4,11.385092093460344
288,5,900,1,882,280,900,1967,450,9819,5,11.711776323715394
289,6,1396,1,698,384,698,1915,0,8730,7,11.941944326032129
290,8,1919,2,1079,685,1079,2006,0,15611,5,12.359780370124389
291,5,1716,0,780,0,936,1912,210,5687,6,11.819674600139235
292,5,1716,1,768,281,1148,1949,292,11409,4,11.782952602183288
293,7,2263,2,795,539,1468,1977,795,16659,7,12.367340793126296
294,6,1644,2,1416,418,1644,1953,1285,9600,5,12.025749091398891
295,6,1003,2,1003,588,1003,1984,819,7937,6,11.867097278690842
296,5,1558,1,910,282,910,1950,420,13710,5,11.931635799828413
297,7,1950,2,975,576,975,1997,649,7399,5,12.384218830913648
298,6,1743,2,702,539,1041,1968,384,11700,6,12.072541252905651
299,6,1152,1,1092,300,1152,1950,0,14000,8,11.973509872299472
300,5,1336,1,1165,375,1336,1953,841,15750,5,11.964001084330445
301,8,2452,2,1028,683,1210,1998,281,16226,5,12.495003937382387
302,7,1541,3,1541,843,1541,2001,0,13704,5,12.230765258120545
303,5,894,2,894,552,894,1972,894,9800,7,11.917723684090689
304,7,3493,3,1470,870,1675,1880,0,18386,9,12.594730635321957
306,7,2243,3,700,746,1122,1990,700,13474,5,12.323855681186558
307,6,1406,0,319,0,1035,1920,0,7920,7,11.401993904262946
308,4,861,2,861,539,861,1940,262,12342,5,11.320553572322773
309,9,1944,3,1896,708,1944,2003,1274,12378,5,12.793859310432293
310,6,1501,2,697,420,697,1993,518,7685,5,12.017330520933296
311,6,972,1,972,240,972,1948,680,8000,6,11.790557201568507
312,5,1118,2,793,410,793,1939,507,7800,7,11.694413341015606
314,7,1641,2,728,546,832,1925,16,9600,7,12.089538829274222
315,7,1432,2,716,432,716,2004,425,7795,5,12.146853285870202
316,7,2353,2,845,484,1153,1980,692,13005,7,12.468436909997665
317,8,1959,3,1088,1025,1088,2006,0,9000,5,12.506177237980511
318,7,2646,3,1347,656,1372,1993,987,9900,5,12.468436909997665
319,7,1472,2,1372,588,1472,1980,1036,14115,5,12.141534124392603
320,9,2596,3,1249,840,1249,2006,0,16259,5,12.7444443677961
321,8,2468,3,1136,872,1136,2004,970,12099,5,12.777052192115912
322,7,2730,2,1502,576,1553,1986,28,10380,5,12.614865543731012
323,3,1163,1,1162,220,1163,1955,256,5820,8,11.745425111208464
324,7,2978,2,710,564,1898,1967,0,11275,7,12.396693005138824
325,5,803,2,720,360,803,1941,116,5000,6,11.37366339763672
326,8,1719,2,1719,473,1719,1993,1619,10846,5,12.688498794774466
327,6,1383,1,1383,292,1383,1960,565,11600,5,11.886211674714158
328,6,2134,2,844,441,1445,1916,0,11888,6,12.27606501735021
329,5,1192,1,596,189,596,1920,0,6402,5,11.26446410567173
330,5,1728,1,1728,352,1728,1964,40,10624,4,11.686878772093667
331,5,1056,1,1056,308,1056,1958,846,8176,6,11.842229212112828
333,7,1358,2,1358,484,1358,2004,720,8198,5,12.240474072247506
334,6,1638,2,943,472,943,1998,828,9042,5,12.165250651009918
335,5,1786,2,1499,529,1619,1965,1249,164660,6,12.341258918085241
336,9,1922,3,1922,676,1922,2005,1249,14157,5,12.841129801965447
337,7,1536,2,1536,532,1536,2002,810,9135,5,12.273731294003989
338,7,1621,2,1208,440,1621,1984,213,14145,7,12.218495165528731
339,6,1215,1,1215,297,1215,1958,585,12400,7,11.951180395901384
340,8,1908,2,967,431,993,2002,0,14191,5,12.220468525813907
341,4,841,1,721,294,841,1950,0,8400,4,11.314474526246391
343,9,1684,2,1684,564,1684,2005,28,8849,5,12.491251587763836
344,5,1112,1,536,336,536,1976,129,2592,3,11.350406535472453
345,6,1577,1,972,312,972,1939,0,6435,5,11.850825253582627
346,6,958,1,958,301,958,1960,498,12772,8,11.928340903931561
347,6,1478,2,1478,498,1478,1960,1270,17600,5,11.967180737247824
348,7,1626,2,764,474,764,2003,573,2448,5,11.944707881395766
349,9,2728,3,1848,706,1848,2005,1410,20431,5,12.988040814744458
351,7,1453,2,1453,445,1453,1986,1082,5271,5,12.154779351142624
352,5,1111,1,616,200,616,1941,236,9084,6,11.461632170582678
353,6,720,2,624,484,720,1928,0,8520,8,11.570250531589497
354,6,1595,1,940,240,1192,1940,388,8400,5,11.84939770159144
355,6,1200,2,1200,521,1200,1995,334,11249,5,12.086725887897607
356,6,1167,2,1158,400,1167,1992,560,9248,6,12.061046873479915
357,5,1142,2,1142,528,1142,1976,874,4224,5,11.805595078933049
358,5,1352,1,1062,288,1352,1958,300,6930,4,11.77528972943772
359,8,1924,2,1086,592,1086,1998,956,12011,5,12.542544882151386
360,6,912,2,888,470,912,1978,773,7540,6,11.957611286231675
361,5,1505,1,883,240,988,1940,399,9144,5,11.884489021402711
363,6,987,1,483,264,483,1972,162,1680,8,11.678439903447801
364,6,1574,2,796,566,790,1976,712,18800,5,12.154779351142624
